2020-07-05 15:58:05,861 INFO  Logger.cs: 70 - 
2020-07-05 16:00:29,864 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-2
2020-07-05 16:00:29,865 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:00:29,866 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-2
2020-07-05 16:00:29,867 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body with electronics-1
2020-07-05 16:00:29,867 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:00:29,868 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body with electronics-1
2020-07-05 16:00:29,868 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-1
2020-07-05 16:00:29,868 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:00:29,869 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-1
2020-07-05 16:00:35,970 INFO  SwAddin.cs: 316 - Loading config tree
2020-07-05 16:00:35,974 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-07-05 16:00:35,987 INFO  SwAddin.cs: 321 - Showing property manager
2020-07-05 16:02:01,498 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:02:05,641 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:02:41,778 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:03:06,552 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:03:33,084 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:03:46,594 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:05:24,130 INFO  SwAddin.cs: 271 - Assembly export called for file gemini_master.SLDASM
2020-07-05 16:05:26,907 INFO  SwAddin.cs: 290 - Saving assembly
2020-07-05 16:05:28,892 INFO  SwAddin.cs: 293 - Opening property manager
2020-07-05 16:05:28,893 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gemini_master.SLDASM
2020-07-05 16:05:28,896 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:05:28,898 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in gemini_master.SLDASM
2020-07-05 16:05:28,899 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:05:28,900 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:05:28,901 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-2
2020-07-05 16:05:28,903 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:05:28,905 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-2
2020-07-05 16:05:28,908 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body with electronics-1
2020-07-05 16:05:28,909 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:05:28,911 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body with electronics-1
2020-07-05 16:05:28,912 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-1
2020-07-05 16:05:28,914 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:05:28,919 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-1
2020-07-05 16:05:28,919 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gemini_master.SLDASM
2020-07-05 16:05:28,920 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:05:28,922 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in gemini_master.SLDASM
2020-07-05 16:05:28,923 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:05:28,923 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:05:28,924 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-2
2020-07-05 16:05:28,925 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:05:28,929 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-2
2020-07-05 16:05:28,931 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body with electronics-1
2020-07-05 16:05:28,932 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:05:28,934 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body with electronics-1
2020-07-05 16:05:28,935 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-1
2020-07-05 16:05:28,936 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:05:28,940 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-1
2020-07-05 16:05:31,182 INFO  SwAddin.cs: 316 - Loading config tree
2020-07-05 16:05:31,183 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-07-05 16:05:31,187 INFO  SwAddin.cs: 321 - Showing property manager
2020-07-05 16:06:19,980 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:06:20,339 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:07:06,503 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:07:59,444 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:08:40,528 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:08:52,208 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:09:37,824 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:09:46,129 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:13:28,110 INFO  SwAddin.cs: 271 - Assembly export called for file gemini_master.SLDASM
2020-07-05 16:13:28,111 INFO  SwAddin.cs: 276 - Save is required
2020-07-05 16:13:28,112 INFO  SwAddin.cs: 290 - Saving assembly
2020-07-05 16:13:32,500 INFO  SwAddin.cs: 293 - Opening property manager
2020-07-05 16:13:32,501 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gemini_master.SLDASM
2020-07-05 16:13:32,503 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:13:32,504 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in gemini_master.SLDASM
2020-07-05 16:13:32,505 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:13:32,507 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:13:32,508 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-2
2020-07-05 16:13:32,509 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:13:32,514 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-2
2020-07-05 16:13:32,515 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body with electronics-1
2020-07-05 16:13:32,517 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:13:32,519 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body with electronics-1
2020-07-05 16:13:32,520 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-1
2020-07-05 16:13:33,120 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:13:33,122 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-1
2020-07-05 16:13:33,122 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gemini_master.SLDASM
2020-07-05 16:13:33,122 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:13:33,124 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in gemini_master.SLDASM
2020-07-05 16:13:33,124 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:13:33,125 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:13:33,125 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-2
2020-07-05 16:13:33,126 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:13:33,127 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-2
2020-07-05 16:13:33,128 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body with electronics-1
2020-07-05 16:13:33,129 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:13:33,130 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body with electronics-1
2020-07-05 16:13:33,130 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-1
2020-07-05 16:13:33,132 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:13:33,133 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-1
2020-07-05 16:13:38,065 INFO  SwAddin.cs: 316 - Loading config tree
2020-07-05 16:13:38,068 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-07-05 16:13:38,072 INFO  SwAddin.cs: 321 - Showing property manager
2020-07-05 16:14:40,603 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:14:40,945 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:16:35,640 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:17:10,566 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:17:17,788 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:20:07,844 INFO  SwAddin.cs: 271 - Assembly export called for file gemini_master.SLDASM
2020-07-05 16:20:10,243 INFO  SwAddin.cs: 290 - Saving assembly
2020-07-05 16:20:12,050 INFO  SwAddin.cs: 293 - Opening property manager
2020-07-05 16:20:12,050 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gemini_master.SLDASM
2020-07-05 16:20:12,053 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:20:12,054 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in gemini_master.SLDASM
2020-07-05 16:20:12,056 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:20:12,056 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:20:12,057 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-2
2020-07-05 16:20:12,058 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:20:12,064 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-2
2020-07-05 16:20:12,065 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body with electronics-1
2020-07-05 16:20:12,066 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:20:12,068 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body with electronics-1
2020-07-05 16:20:12,069 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-1
2020-07-05 16:20:12,070 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:20:12,074 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-1
2020-07-05 16:20:12,076 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gemini_master.SLDASM
2020-07-05 16:20:12,077 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:20:12,078 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in gemini_master.SLDASM
2020-07-05 16:20:12,078 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:20:12,079 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:20:12,080 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-2
2020-07-05 16:20:12,082 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:20:12,085 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-2
2020-07-05 16:20:12,086 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body with electronics-1
2020-07-05 16:20:12,087 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:20:12,087 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body with electronics-1
2020-07-05 16:20:12,088 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-1
2020-07-05 16:20:12,089 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:20:12,093 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-1
2020-07-05 16:20:14,415 INFO  SwAddin.cs: 316 - Loading config tree
2020-07-05 16:20:14,417 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-07-05 16:20:14,423 INFO  SwAddin.cs: 321 - Showing property manager
2020-07-05 16:21:27,013 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:21:27,242 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:23:10,395 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:23:12,785 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:23:41,035 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:23:49,538 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:25:02,467 INFO  SwAddin.cs: 271 - Assembly export called for file gemini_master.SLDASM
2020-07-05 16:25:04,566 INFO  SwAddin.cs: 290 - Saving assembly
2020-07-05 16:25:06,411 INFO  SwAddin.cs: 293 - Opening property manager
2020-07-05 16:25:06,412 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gemini_master.SLDASM
2020-07-05 16:25:06,413 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:25:06,414 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in gemini_master.SLDASM
2020-07-05 16:25:06,416 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:25:06,417 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:25:06,417 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-2
2020-07-05 16:25:06,420 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:25:06,424 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-2
2020-07-05 16:25:06,425 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body with electronics-1
2020-07-05 16:25:06,426 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:25:06,428 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body with electronics-1
2020-07-05 16:25:06,429 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-1
2020-07-05 16:25:06,584 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:25:06,587 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-1
2020-07-05 16:25:06,588 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gemini_master.SLDASM
2020-07-05 16:25:06,589 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:25:06,590 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in gemini_master.SLDASM
2020-07-05 16:25:06,590 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:25:06,591 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:25:06,592 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-2
2020-07-05 16:25:06,594 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:25:06,597 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-2
2020-07-05 16:25:06,598 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body with electronics-1
2020-07-05 16:25:06,599 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:25:06,601 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in body with electronics-1
2020-07-05 16:25:06,601 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from light arm-1
2020-07-05 16:25:06,602 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:25:06,606 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in light arm-1
2020-07-05 16:25:08,871 INFO  SwAddin.cs: 316 - Loading config tree
2020-07-05 16:25:08,872 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-07-05 16:25:08,880 INFO  SwAddin.cs: 321 - Showing property manager
2020-07-05 16:25:33,303 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:25:33,650 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:25:39,317 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:27:31,452 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:27:49,605 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:28:16,729 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:28:33,773 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:30:13,803 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:31:59,678 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:34:03,565 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:35:03,942 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:35:12,637 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:35:33,907 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:48:17,413 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-07-05 16:51:24,615 INFO  SwAddin.cs: 271 - Assembly export called for file gemini_master.SLDASM
2020-07-05 16:51:26,829 INFO  SwAddin.cs: 290 - Saving assembly
2020-07-05 16:51:28,771 INFO  SwAddin.cs: 293 - Opening property manager
2020-07-05 16:51:28,772 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from gemini_master.SLDASM
2020-07-05 16:51:28,773 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:51:28,774 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in gemini_master.SLDASM
2020-07-05 16:51:28,775 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:51:28,776 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-07-05 16:51:28,776 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-2
2020-07-05 16:51:28,777 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-2
2020-07-05 16:51:28,782 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-2
2020-07-05 16:51:28,783 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body with electronics-1
2020-07-05 16:51:28,784 INFO  ExportHelperExtension.cs: 1142 - Found 73 in body with electronics-1
2020-07-05 16:51:28,786 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body with electronics-1
2020-07-05 16:51:28,787 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from light arm-1
2020-07-05 16:51:28,788 INFO  ExportHelperExtension.cs: 1142 - Found 218 in light arm-1
2020-07-05 16:51:28,792 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in light arm-1
2020-07-05 16:51:28,792 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from gemini_master.SLDASM
2020-07-05 16:51:28,793 INFO  ExportHelperExtension.cs: 1142 - Found 40 in gemini_master.SLDASM
2020-07-05 16:51:28,794 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in gemini_master.SLDASM
2020-07-05 16:51:28,795 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-07-05 16:51:28,795 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
